Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	0.040287	24.822	451.03	507.43	2.7446	0.65932	0.85253	269.39	1.0761	15.021	0.016791	vapor
310.00	1.0000	0.038968	25.662	457.69	516.00	2.7727	0.66928	0.86207	273.46	0.99024	15.504	0.017603	vapor
320.00	1.0000	0.037733	26.502	464.45	524.67	2.8002	0.67908	0.87151	277.45	0.91437	15.983	0.018424	vapor
330.00	1.0000	0.036576	27.341	471.31	533.43	2.8272	0.68871	0.88083	281.37	0.84699	16.460	0.019252	vapor
340.00	1.0000	0.035488	28.179	478.26	542.29	2.8536	0.69816	0.89001	285.24	0.78685	16.932	0.020086	vapor
350.00	1.0000	0.034463	29.016	485.30	551.23	2.8795	0.70743	0.89903	289.04	0.73293	17.402	0.020924	vapor
360.00	1.0000	0.033497	29.853	492.43	560.27	2.9050	0.71651	0.90790	292.79	0.68440	17.868	0.021766	vapor
370.00	1.0000	0.032584	30.690	499.65	569.39	2.9300	0.72541	0.91661	296.49	0.64053	18.330	0.022609	vapor
380.00	1.0000	0.031720	31.526	506.96	578.60	2.9545	0.73412	0.92515	300.13	0.60074	18.789	0.023453	vapor
390.00	1.0000	0.030900	32.362	514.36	587.89	2.9787	0.74264	0.93352	303.73	0.56451	19.244	0.024298	vapor
400.00	1.0000	0.030123	33.198	521.84	597.27	3.0024	0.75099	0.94173	307.28	0.53144	19.696	0.025143	vapor
410.00	1.0000	0.029383	34.033	529.40	606.73	3.0258	0.75916	0.94978	310.79	0.50114	20.144	0.025986	vapor
420.00	1.0000	0.028679	34.868	537.04	616.26	3.0488	0.76716	0.95767	314.25	0.47332	20.589	0.026829	vapor
430.00	1.0000	0.028009	35.703	544.75	625.88	3.0714	0.77499	0.96540	317.68	0.44769	21.029	0.027670	vapor
440.00	1.0000	0.027369	36.538	552.55	635.57	3.0937	0.78266	0.97298	321.06	0.42402	21.467	0.028509	vapor
450.00	1.0000	0.026758	37.372	560.42	645.34	3.1156	0.79017	0.98041	324.41	0.40212	21.901	0.029346	vapor
460.00	1.0000	0.026174	38.206	568.37	655.18	3.1372	0.79753	0.98770	327.72	0.38181	22.331	0.030180	vapor
470.00	1.0000	0.025614	39.040	576.38	665.09	3.1586	0.80474	0.99484	330.99	0.36292	22.758	0.031012	vapor
480.00	1.0000	0.025079	39.874	584.47	675.07	3.1796	0.81180	1.0018	334.24	0.34532	23.181	0.031841	vapor
490.00	1.0000	0.024565	40.708	592.63	685.13	3.2003	0.81873	1.0087	337.44	0.32890	23.601	0.032667	vapor
500.00	1.0000	0.024072	41.542	600.86	695.25	3.2208	0.82552	1.0154	340.62	0.31355	24.017	0.033491	vapor
510.00	1.0000	0.023599	42.375	609.15	705.44	3.2409	0.83217	1.0220	343.77	0.29917	24.430	0.034311	vapor
520.00	1.0000	0.023143	43.209	617.51	715.69	3.2608	0.83870	1.0285	346.88	0.28568	24.840	0.035129	vapor
530.00	1.0000	0.022705	44.042	625.93	726.01	3.2805	0.84510	1.0349	349.97	0.27300	25.246	0.035943	vapor
540.00	1.0000	0.022284	44.876	634.42	736.39	3.2999	0.85138	1.0411	353.03	0.26107	25.649	0.036754	vapor
550.00	1.0000	0.021878	45.709	642.97	746.83	3.3191	0.85755	1.0472	356.06	0.24983	26.048	0.037562	vapor
560.00	1.0000	0.021486	46.542	651.58	757.33	3.3380	0.86359	1.0533	359.06	0.23922	26.445	0.038367	vapor
570.00	1.0000	0.021108	47.375	660.25	767.89	3.3567	0.86953	1.0592	362.04	0.22920	26.838	0.039169	vapor
580.00	1.0000	0.020743	48.208	668.97	778.51	3.3751	0.87535	1.0650	364.99	0.21971	27.228	0.039967	vapor
590.00	1.0000	0.020391	49.041	677.76	789.19	3.3934	0.88107	1.0706	367.92	0.21073	27.615	0.040762	vapor
600.00	1.0000	0.020051	49.874	686.60	799.93	3.4114	0.88668	1.0762	370.83	0.20221	27.999	0.041554	vapor
610.00	1.0000	0.019721	50.707	695.50	810.72	3.4293	0.89219	1.0817	373.71	0.19412	28.379	0.042343	vapor
620.00	1.0000	0.019403	51.539	704.45	821.56	3.4469	0.89760	1.0871	376.57	0.18643	28.757	0.043129	vapor
630.00	1.0000	0.019094	52.372	713.46	832.46	3.4643	0.90291	1.0924	379.40	0.17912	29.132	0.043911	vapor
640.00	1.0000	0.018795	53.205	722.52	843.41	3.4816	0.90813	1.0976	382.22	0.17215	29.504	0.044690	vapor
650.00	1.0000	0.018506	54.037	731.62	854.41	3.4986	0.91325	1.1027	385.01	0.16551	29.873	0.045466	vapor
660.00	1.0000	0.018225	54.870	740.79	865.46	3.5155	0.91828	1.1077	387.79	0.15918	30.239	0.046238	vapor
670.00	1.0000	0.017953	55.702	750.00	876.56	3.5322	0.92322	1.1126	390.54	0.15313	30.602	0.047008	vapor
680.00	1.0000	0.017688	56.535	759.25	887.71	3.5487	0.92807	1.1175	393.27	0.14735	30.963	0.047773	vapor
690.00	1.0000	0.017432	57.367	768.56	898.91	3.5651	0.93284	1.1222	395.99	0.14182	31.321	0.048536	vapor
700.00	1.0000	0.017182	58.200	777.91	910.16	3.5813	0.93752	1.1269	398.68	0.13653	31.676	0.049296	vapor
710.00	1.0000	0.016940	59.032	787.32	921.45	3.5973	0.94211	1.1314	401.36	0.13146	32.029	0.050052	vapor
720.00	1.0000	0.016704	59.864	796.76	932.79	3.6131	0.94663	1.1360	404.02	0.12661	32.378	0.050805	vapor
730.00	1.0000	0.016475	60.697	806.25	944.17	3.6288	0.95106	1.1404	406.66	0.12194	32.726	0.051554	vapor
740.00	1.0000	0.016253	61.529	815.79	955.59	3.6444	0.95542	1.1447	409.28	0.11747	33.071	0.052301	vapor
750.00	1.0000	0.016036	62.361	825.36	967.06	3.6598	0.95969	1.1490	411.89	0.11317	33.413	0.053044	vapor
760.00	1.0000	0.015824	63.193	834.98	978.57	3.6750	0.96390	1.1532	414.48	0.10904	33.753	0.053783	vapor
770.00	1.0000	0.015619	64.026	844.64	990.12	3.6901	0.96802	1.1573	417.05	0.10507	34.090	0.054520	vapor
780.00	1.0000	0.015418	64.858	854.35	1001.7	3.7051	0.97208	1.1613	419.61	0.10124	34.425	0.055253	vapor
790.00	1.0000	0.015223	65.690	864.09	1013.4	3.7199	0.97606	1.1653	422.16	0.097559	34.758	0.055983	vapor
800.00	1.0000	0.015033	66.522	873.87	1025.0	3.7346	0.97997	1.1692	424.68	0.094011	35.088	0.056710	vapor
810.00	1.0000	0.014847	67.354	883.69	1036.7	3.7491	0.98381	1.1730	427.20	0.090590	35.417	0.057433	vapor
820.00	1.0000	0.014666	68.186	893.55	1048.5	3.7635	0.98759	1.1768	429.70	0.087290	35.742	0.058154	vapor
830.00	1.0000	0.014489	69.018	903.45	1060.3	3.7778	0.99129	1.1805	432.18	0.084105	36.066	0.058871	vapor
840.00	1.0000	0.014316	69.850	913.38	1072.1	3.7920	0.99493	1.1841	434.65	0.081029	36.388	0.059584	vapor
850.00	1.0000	0.014148	70.683	923.35	1084.0	3.8060	0.99851	1.1877	437.11	0.078058	36.707	0.060295	vapor
860.00	1.0000	0.013983	71.515	933.35	1095.8	3.8199	1.0020	1.1912	439.55	0.075187	37.024	0.061002	vapor
870.00	1.0000	0.013822	72.347	943.39	1107.8	3.8337	1.0055	1.1947	441.98	0.072410	37.339	0.061706	vapor
880.00	1.0000	0.013665	73.179	953.46	1119.7	3.8474	1.0089	1.1980	444.39	0.069723	37.652	0.062407	vapor
890.00	1.0000	0.013512	74.011	963.57	1131.7	3.8610	1.0122	1.2014	446.80	0.067123	37.964	0.063105	vapor
900.00	1.0000	0.013361	74.843	973.71	1143.8	3.8744	1.0155	1.2046	449.19	0.064605	38.273	0.063799	vapor
910.00	1.0000	0.013214	75.674	983.88	1155.8	3.8877	1.0187	1.2078	451.56	0.062165	38.580	0.064490	vapor
920.00	1.0000	0.013071	76.506	994.08	1167.9	3.9009	1.0218	1.2110	453.93	0.059801	38.885	0.065178	vapor
930.00	1.0000	0.012930	77.338	1004.3	1180.0	3.9141	1.0250	1.2141	456.28	0.057509	39.189	0.065863	vapor
940.00	1.0000	0.012793	78.170	1014.6	1192.2	3.9271	1.0280	1.2171	458.62	0.055286	39.490	0.066545	vapor
950.00	1.0000	0.012658	79.002	1024.9	1204.4	3.9400	1.0310	1.2201	460.95	0.053129	39.790	0.067224	vapor
960.00	1.0000	0.012526	79.834	1035.2	1216.6	3.9527	1.0339	1.2231	463.27	0.051035	40.088	0.067900	vapor
970.00	1.0000	0.012397	80.666	1045.6	1228.9	3.9654	1.0368	1.2260	465.58	0.049002	40.384	0.068572	vapor
980.00	1.0000	0.012270	81.498	1055.9	1241.1	3.9780	1.0397	1.2288	467.88	0.047027	40.678	0.069242	vapor
990.00	1.0000	0.012146	82.330	1066.4	1253.4	3.9905	1.0425	1.2316	470.16	0.045107	40.971	0.069908	vapor
1000.0	1.0000	0.012025	83.162	1076.8	1265.8	4.0029	1.0452	1.2343	472.43	0.043241	41.262	0.070571	vapor
1010.0	1.0000	0.011906	83.993	1087.3	1278.1	4.0152	1.0479	1.2370	474.70	0.041427	41.551	0.071232	vapor
1020.0	1.0000	0.011789	84.825	1097.8	1290.5	4.0274	1.0506	1.2397	476.95	0.039662	41.839	0.071889	vapor
1030.0	1.0000	0.011674	85.657	1108.3	1302.9	4.0395	1.0532	1.2423	479.19	0.037945	42.125	0.072543	vapor
1040.0	1.0000	0.011562	86.489	1118.8	1315.3	4.0515	1.0557	1.2448	481.42	0.036274	42.409	0.073195	vapor
1050.0	1.0000	0.011452	87.321	1129.4	1327.8	4.0634	1.0582	1.2473	483.65	0.034646	42.692	0.073843	vapor
1060.0	1.0000	0.011344	88.153	1140.0	1340.3	4.0753	1.0607	1.2498	485.86	0.033061	42.973	0.074489	vapor
1070.0	1.0000	0.011238	88.984	1150.6	1352.8	4.0870	1.0631	1.2522	488.06	0.031517	43.253	0.075131	vapor
1080.0	1.0000	0.011134	89.816	1161.3	1365.3	4.0987	1.0655	1.2546	490.25	0.030011	43.531	0.075771	vapor
1090.0	1.0000	0.011032	90.648	1171.9	1377.9	4.1103	1.0679	1.2570	492.44	0.028544	43.808	0.076408	vapor
1100.0	1.0000	0.010931	91.480	1182.6	1390.5	4.1218	1.0702	1.2593	494.61	0.027114	44.084	0.077042	vapor
