Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	55.317	0.018078	112.55	112.65	0.39306	4.1302	4.1806	1501.5	-0.022024	853.83	0.61032	liquid
310.00	1.0000	55.141	0.018135	154.35	154.45	0.53011	4.0876	4.1792	1523.4	-0.021393	693.54	0.62609	liquid
320.00	1.0000	54.922	0.018208	196.15	196.25	0.66281	4.0414	4.1805	1538.9	-0.020804	577.04	0.63975	liquid
330.00	1.0000	54.664	0.018294	237.97	238.07	0.79150	3.9923	4.1837	1548.9	-0.020241	489.50	0.65121	liquid
340.00	1.0000	54.373	0.018392	279.82	279.93	0.91646	3.9414	4.1883	1554.0	-0.019690	421.99	0.66058	liquid
350.00	1.0000	54.050	0.018501	321.74	321.84	1.0380	3.8894	4.1945	1554.9	-0.019141	368.78	0.66803	liquid
360.00	1.0000	53.699	0.018622	363.72	363.82	1.1562	3.8369	4.2023	1552.1	-0.018582	326.11	0.67378	liquid
370.00	1.0000	53.321	0.018754	405.79	405.89	1.2715	3.7845	4.2121	1545.8	-0.018006	291.36	0.67803	liquid
372.76	1.0000	53.212	0.018793	417.40	417.50	1.3028	3.7702	4.2152	1543.5	-0.017843	282.91	0.67897	liquid
372.76	1.0000	0.032769	30.517	2505.6	2674.9	7.3588	1.5548	2.0784	471.99	6.7038	12.256	0.025053	vapor
380.00	1.0000	0.032097	31.156	2517.0	2689.9	7.3986	1.5356	2.0507	477.08	6.0450	12.526	0.025546	vapor
390.00	1.0000	0.031220	32.030	2532.5	2710.3	7.4515	1.5189	2.0252	483.80	5.3185	12.903	0.026260	vapor
400.00	1.0000	0.030397	32.898	2547.8	2730.4	7.5025	1.5082	2.0078	490.31	4.7254	13.285	0.027008	vapor
410.00	1.0000	0.029620	33.761	2563.0	2750.4	7.5519	1.5012	1.9954	496.63	4.2281	13.670	0.027788	vapor
420.00	1.0000	0.028885	34.620	2578.2	2770.3	7.5999	1.4968	1.9868	502.81	3.8060	14.060	0.028596	vapor
430.00	1.0000	0.028189	35.475	2593.3	2790.2	7.6466	1.4945	1.9809	508.86	3.4446	14.452	0.029430	vapor
440.00	1.0000	0.027528	36.327	2608.3	2810.0	7.6921	1.4938	1.9772	514.78	3.1331	14.848	0.030288	vapor
450.00	1.0000	0.026899	37.177	2623.4	2829.7	7.7365	1.4943	1.9752	520.60	2.8629	15.246	0.031168	vapor
460.00	1.0000	0.026299	38.025	2638.4	2849.5	7.7799	1.4957	1.9746	526.32	2.6269	15.647	0.032069	vapor
470.00	1.0000	0.025726	38.871	2653.5	2869.2	7.8224	1.4980	1.9751	531.94	2.4198	16.050	0.032990	vapor
480.00	1.0000	0.025179	39.715	2668.5	2889.0	7.8640	1.5009	1.9764	537.48	2.2369	16.454	0.033930	vapor
490.00	1.0000	0.024656	40.559	2683.6	2908.8	7.9047	1.5043	1.9785	542.93	2.0746	16.861	0.034887	vapor
500.00	1.0000	0.024154	41.401	2698.7	2928.6	7.9447	1.5082	1.9813	548.31	1.9298	17.270	0.035861	vapor
510.00	1.0000	0.023673	42.242	2713.9	2948.4	7.9840	1.5124	1.9845	553.62	1.8000	17.679	0.036850	vapor
520.00	1.0000	0.023211	43.083	2729.1	2968.2	8.0226	1.5169	1.9881	558.86	1.6832	18.090	0.037855	vapor
530.00	1.0000	0.022767	43.923	2744.3	2988.2	8.0605	1.5217	1.9921	564.03	1.5777	18.502	0.038874	vapor
540.00	1.0000	0.022340	44.762	2759.6	3008.1	8.0978	1.5267	1.9964	569.14	1.4820	18.916	0.039907	vapor
550.00	1.0000	0.021930	45.600	2775.0	3028.1	8.1344	1.5319	2.0010	574.19	1.3948	19.329	0.040953	vapor
560.00	1.0000	0.021534	46.438	2790.3	3048.1	8.1705	1.5373	2.0058	579.18	1.3153	19.744	0.042012	vapor
570.00	1.0000	0.021152	47.276	2805.8	3068.2	8.2061	1.5428	2.0108	584.12	1.2424	20.159	0.043083	vapor
580.00	1.0000	0.020784	48.113	2821.3	3088.3	8.2411	1.5484	2.0160	589.00	1.1754	20.575	0.044166	vapor
590.00	1.0000	0.020429	48.950	2836.8	3108.5	8.2756	1.5541	2.0213	593.83	1.1137	20.991	0.045261	vapor
600.00	1.0000	0.020086	49.786	2852.4	3128.8	8.3096	1.5600	2.0268	598.61	1.0567	21.407	0.046367	vapor
610.00	1.0000	0.019754	50.622	2868.1	3149.1	8.3432	1.5659	2.0324	603.34	1.0040	21.823	0.047483	vapor
620.00	1.0000	0.019433	51.458	2883.8	3169.4	8.3763	1.5719	2.0381	608.02	0.95505	22.240	0.048610	vapor
630.00	1.0000	0.019123	52.293	2899.5	3189.8	8.4089	1.5780	2.0439	612.65	0.90956	22.656	0.049746	vapor
640.00	1.0000	0.018822	53.128	2915.4	3210.3	8.4411	1.5841	2.0497	617.25	0.86719	23.072	0.050893	vapor
650.00	1.0000	0.018531	53.963	2931.3	3230.8	8.4730	1.5903	2.0557	621.79	0.82764	23.488	0.052049	vapor
660.00	1.0000	0.018249	54.798	2947.2	3251.4	8.5044	1.5966	2.0618	626.30	0.79068	23.904	0.053214	vapor
670.00	1.0000	0.017975	55.633	2963.2	3272.0	8.5354	1.6029	2.0679	630.76	0.75607	24.320	0.054389	vapor
