Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	0.040098	24.939	222.17	311.20	6.8457	0.74316	1.0413	353.16	0.21197	17.897	0.025858	vapor
310.00	1.0000	0.038801	25.772	229.61	321.61	6.8798	0.74334	1.0414	358.99	0.19703	18.354	0.026523	vapor
320.00	1.0000	0.037586	26.605	237.05	332.02	6.9129	0.74356	1.0415	364.73	0.18319	18.806	0.027179	vapor
330.00	1.0000	0.036445	27.439	244.49	342.44	6.9449	0.74382	1.0417	370.38	0.17033	19.251	0.027828	vapor
340.00	1.0000	0.035371	28.271	251.94	352.86	6.9760	0.74415	1.0420	375.93	0.15835	19.690	0.028471	vapor
350.00	1.0000	0.034359	29.104	259.39	363.28	7.0062	0.74453	1.0423	381.39	0.14717	20.124	0.029106	vapor
360.00	1.0000	0.033403	29.937	266.84	373.71	7.0356	0.74497	1.0427	386.77	0.13671	20.553	0.029736	vapor
370.00	1.0000	0.032500	30.770	274.30	384.13	7.0642	0.74548	1.0431	392.07	0.12691	20.976	0.030361	vapor
380.00	1.0000	0.031643	31.602	281.76	394.57	7.0920	0.74607	1.0436	397.30	0.11771	21.394	0.030980	vapor
390.00	1.0000	0.030831	32.435	289.22	405.01	7.1191	0.74672	1.0443	402.44	0.10905	21.808	0.031595	vapor
400.00	1.0000	0.030060	33.267	296.70	415.45	7.1456	0.74746	1.0450	407.51	0.10089	22.217	0.032205	vapor
410.00	1.0000	0.029326	34.100	304.18	425.91	7.1714	0.74827	1.0457	412.51	0.093192	22.621	0.032811	vapor
420.00	1.0000	0.028627	34.932	311.67	436.37	7.1966	0.74916	1.0466	417.44	0.085919	23.021	0.033414	vapor
430.00	1.0000	0.027961	35.764	319.17	446.84	7.2212	0.75013	1.0475	422.30	0.079038	23.417	0.034014	vapor
440.00	1.0000	0.027325	36.596	326.68	457.32	7.2453	0.75119	1.0485	427.10	0.072521	23.808	0.034611	vapor
450.00	1.0000	0.026718	37.429	334.20	467.81	7.2689	0.75233	1.0497	431.83	0.066342	24.196	0.035205	vapor
460.00	1.0000	0.026136	38.261	341.73	478.31	7.2920	0.75355	1.0508	436.50	0.060476	24.579	0.035796	vapor
470.00	1.0000	0.025580	39.093	349.28	488.83	7.3146	0.75485	1.0521	441.11	0.054903	24.959	0.036386	vapor
480.00	1.0000	0.025047	39.925	356.83	499.35	7.3367	0.75622	1.0535	445.67	0.049603	25.336	0.036973	vapor
490.00	1.0000	0.024536	40.757	364.41	509.90	7.3585	0.75768	1.0549	450.16	0.044559	25.709	0.037559	vapor
500.00	1.0000	0.024045	41.589	371.99	520.45	7.3798	0.75921	1.0564	454.60	0.039755	26.078	0.038143	vapor
510.00	1.0000	0.023573	42.421	379.59	531.03	7.4007	0.76082	1.0580	458.99	0.035175	26.444	0.038725	vapor
520.00	1.0000	0.023120	43.253	387.21	541.61	7.4213	0.76249	1.0597	463.32	0.030807	26.807	0.039306	vapor
530.00	1.0000	0.022683	44.085	394.85	552.22	7.4415	0.76423	1.0614	467.60	0.026637	27.166	0.039886	vapor
540.00	1.0000	0.022263	44.917	402.50	562.84	7.4614	0.76604	1.0632	471.83	0.022655	27.523	0.040465	vapor
