Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	0.040116	24.928	194.81	272.71	6.4163	0.65873	0.91987	329.72	0.26530	20.561	0.026657	vapor
310.00	1.0000	0.038818	25.761	201.41	281.92	6.4465	0.66034	0.92138	335.07	0.24867	21.108	0.027462	vapor
320.00	1.0000	0.037602	26.594	208.03	291.14	6.4757	0.66210	0.92306	340.32	0.23325	21.649	0.028265	vapor
330.00	1.0000	0.036460	27.427	214.67	300.38	6.5042	0.66403	0.92490	345.46	0.21894	22.183	0.029068	vapor
340.00	1.0000	0.035385	28.261	221.32	309.64	6.5318	0.66610	0.92690	350.52	0.20560	22.710	0.029870	vapor
350.00	1.0000	0.034372	29.093	228.00	318.92	6.5587	0.66831	0.92905	355.48	0.19317	23.231	0.030672	vapor
360.00	1.0000	0.033415	29.926	234.70	328.22	6.5849	0.67065	0.93134	360.35	0.18154	23.746	0.031475	vapor
370.00	1.0000	0.032511	30.759	241.42	337.55	6.6105	0.67312	0.93375	365.14	0.17066	24.255	0.032277	vapor
380.00	1.0000	0.031654	31.592	248.17	346.90	6.6354	0.67570	0.93628	369.85	0.16046	24.759	0.033081	vapor
390.00	1.0000	0.030841	32.424	254.94	356.27	6.6598	0.67838	0.93892	374.48	0.15088	25.257	0.033884	vapor
400.00	1.0000	0.030069	33.257	261.75	365.68	6.6836	0.68116	0.94165	379.05	0.14188	25.749	0.034689	vapor
410.00	1.0000	0.029335	34.089	268.57	375.11	6.7068	0.68402	0.94447	383.54	0.13340	26.236	0.035494	vapor
420.00	1.0000	0.028636	34.922	275.43	384.57	6.7296	0.68695	0.94737	387.96	0.12541	26.719	0.036299	vapor
430.00	1.0000	0.027969	35.754	282.32	394.06	6.7520	0.68994	0.95033	392.32	0.11788	27.196	0.037105	vapor
440.00	1.0000	0.027333	36.586	289.24	403.57	6.7738	0.69299	0.95335	396.62	0.11076	27.668	0.037912	vapor
450.00	1.0000	0.026725	37.419	296.18	413.12	6.7953	0.69608	0.95641	400.86	0.10404	28.136	0.038718	vapor
460.00	1.0000	0.026143	38.251	303.16	422.70	6.8164	0.69921	0.95951	405.04	0.097675	28.599	0.039525	vapor
470.00	1.0000	0.025587	39.083	310.17	432.31	6.8370	0.70237	0.96265	409.18	0.091651	29.058	0.040332	vapor
480.00	1.0000	0.025053	39.915	317.22	441.95	6.8573	0.70554	0.96580	413.26	0.085942	29.513	0.041138	vapor
